cmod, load_min, load_max
0.0004690906, 9.77, 18.86
0.0004715991, 9.77, 18.86
0.0004741077, 9.77, 18.86
0.0004766162, 9.77, 18.86
0.0004791247, 9.77, 18.86
0.0004816332, 9.77, 18.86
0.0004841417, 9.77, 18.86
0.0004866502, 9.77, 18.86
0.0004891587, 9.77, 18.86
0.0004916672, 9.77, 18.86
0.0004941757, 9.77, 18.86
0.0004966842, 9.77, 18.86
0.0004991927, 9.77, 18.86
0.0005017012, 9.77, 18.86
0.0005042097, 9.77, 18.86
0.0005067182, 9.77, 18.86
0.0005092267, 9.77, 18.86
0.0005117352, 9.77, 18.86
0.0005142437, 9.77, 18.86
0.0005167523, 9.77, 18.86
0.0005192608, 9.77, 18.86
0.0005217693, 9.77, 18.86
0.0005242778, 9.77, 18.86
0.0005267863, 9.77, 18.86
0.0005292948, 9.77, 18.86
0.0005318033, 9.77, 18.86
0.0005343118, 9.77, 18.86
0.0005368203, 9.73, 18.86
0.0005393288, 9.66, 18.86
0.0005418373, 9.58, 18.86
0.0005443458, 9.48, 18.86
0.0005468543, 9.38, 18.86
0.0005493628, 9.28, 18.86
0.0005518713, 9.18, 18.86
0.0005543798, 9.09, 18.86
0.0005568884, 9.02, 18.86
0.0005593969, 8.97, 18.86
0.0005619054, 8.95, 18.86
0.0005644139, 8.96, 18.86
0.0005669224, 9.00, 18.86
0.0005694309, 9.08, 18.86
0.0005719394, 9.20, 18.86
0.0005744479, 9.36, 18.86
0.0005769564, 9.57, 18.86
0.0005794649, 9.83, 18.86
0.0005819734, 10.14, 18.86
0.0005844819, 10.50, 18.86
0.0005869904, 10.92, 18.86
0.0005894989, 11.39, 18.86
0.0005920074, 11.92, 18.86
0.0005945159, 12.51, 18.86
0.0005970245, 13.16, 18.86
0.0005995330, 13.86, 18.86
0.0006020415, 14.62, 18.86
0.0006045500, 15.44, 18.86
0.0006070585, 16.31, 18.86
0.0006095670, 17.24, 18.86
0.0006120755, 18.22, 18.86
0.0006145840, 19.25, 18.86
0.0006170925, 20.33, 18.86
0.0006196010, 21.46, 18.86
0.0006221095, 22.63, 18.86
0.0006246180, 23.84, 18.86
0.0006271265, 25.08, 18.86
0.0006296350, 26.36, 18.86
0.0006321435, 27.67, 18.86
0.0006346520, 29.00, 18.86
0.0006371605, 30.36, 18.86
0.0006396691, 31.73, 18.86
0.0006421776, 33.11, 18.86
0.0006446861, 34.49, 18.86
0.0006471946, 35.87, 18.86
0.0006497031, 37.25, 18.86
0.0006522116, 38.61, 18.86
0.0006547201, 39.95, 18.86
0.0006572286, 41.26, 18.86
