cmod, load_min, load_max
0.0066371000, 483.14, 545.53
0.0066727000, 485.54, 548.08
0.0067083000, 487.93, 550.86
0.0067439000, 490.81, 553.73
0.0067795000, 493.21, 556.39
0.0068151000, 495.51, 557.91
0.0068507000, 498.03, 560.44
0.0068863000, 500.62, 563.21
0.0069219000, 503.89, 566.27
0.0069575000, 505.67, 568.05
0.0069931000, 508.27, 570.08
0.0070287000, 510.80, 573.33
0.0070642900, 513.72, 575.91
0.0070998900, 516.60, 578.35
0.0071354900, 518.77, 581.18
0.0071710900, 521.05, 583.88
0.0072066900, 523.93, 586.89
0.0072422900, 526.29, 588.77
0.0072778900, 528.55, 591.93
0.0073134900, 530.80, 593.74
0.0073490900, 533.47, 595.61
0.0073846900, 535.91, 598.09
0.0074202900, 537.84, 599.74
0.0074558900, 540.58, 601.86
0.0074914900, 543.40, 604.69
0.0075270900, 546.49, 607.99
0.0075626900, 548.99, 610.07
0.0075982900, 551.31, 612.32
0.0076338900, 553.18, 614.85
0.0076694900, 555.08, 618.38
0.0077050800, 558.33, 620.91
0.0077406800, 561.51, 622.38
0.0077762800, 563.32, 624.98
0.0078118800, 565.99, 626.30
0.0078474800, 567.27, 630.26
0.0078830800, 570.72, 631.54
0.0079186800, 573.73, 633.92
0.0079542800, 574.79, 635.04
0.0079898800, 577.19, 637.85
0.0080254800, 580.00, 640.40
0.0080610800, 581.45, 642.71
0.0080966800, 583.41, 643.09
0.0081322800, 585.69, 645.40
0.0081678800, 587.57, 648.25
0.0082034800, 590.06, 650.71
0.0082390800, 592.10, 652.61
0.0082746800, 594.37, 654.47
0.0083102800, 597.08, 656.77
0.0083458800, 597.95, 659.32
0.0083814700, 598.59, 660.92
0.0084170700, 602.40, 662.47
0.0084526700, 603.64, 663.67
0.0084882700, 605.72, 666.66
0.0085238700, 607.29, 669.10
0.0085594700, 609.55, 670.58
0.0085950700, 611.38, 672.14
0.0086306700, 613.75, 674.43
0.0086662700, 616.00, 676.70
0.0087018700, 617.50, 679.33
0.0087374700, 619.85, 679.47
0.0087730700, 622.30, 681.96
0.0088086700, 623.36, 684.33
0.0088442700, 624.70, 686.84
0.0088798700, 626.91, 688.30
0.0089154700, 629.10, 689.63
0.0089510700, 630.02, 690.55
0.0089866700, 631.38, 693.92
0.0090222700, 633.97, 695.74
0.0090578600, 635.83, 697.56
0.0090934600, 637.19, 700.51
0.0091290600, 639.40, 701.33
0.0091646600, 640.74, 703.98
0.0092002600, 643.05, 704.25
0.0092358600, 644.76, 707.05
0.0092714600, 647.01, 708.55
0.0093070600, 647.37, 710.44
0.0093426600, 649.51, 712.05
0.0093782600, 649.91, 714.00
0.0094138600, 651.85, 716.17
0.0094494600, 655.02, 718.37
0.0094850600, 656.05, 720.13
0.0095206600, 657.28, 721.00
0.0095562600, 658.80, 722.47
0.0095918600, 661.14, 724.55
0.0096274600, 662.17, 727.19
0.0096630600, 664.25, 729.00
0.0096986600, 666.46, 730.66
0.0097342600, 668.25, 732.14
0.0097698500, 669.50, 734.08
0.0098054500, 671.34, 736.65
0.0098410500, 673.12, 739.17
0.0098766500, 674.14, 741.29
0.0099122500, 675.80, 743.04
0.0099478500, 676.92, 744.47
0.0099834500, 679.01, 746.65
0.0100190500, 680.95, 748.11
0.0100546500, 682.86, 750.81
0.0100902500, 685.66, 752.99
0.0101258500, 685.90, 753.45
0.0101614500, 688.15, 756.41
0.0101970500, 690.40, 758.38
0.0102326500, 691.34, 760.17
0.0102682500, 692.10, 762.21
0.0103038500, 693.65, 764.35
0.0103394500, 696.01, 765.30
0.0103750500, 698.13, 767.13
0.0104106500, 699.12, 769.79
0.0104462400, 700.18, 770.65
0.0104818400, 703.28, 772.98
0.0105174400, 706.02, 775.26
0.0105530400, 708.02, 775.47
0.0105886400, 709.38, 777.20
0.0106242400, 710.07, 779.58
0.0106598400, 711.79, 782.01
0.0106954400, 713.38, 782.23
0.0107310400, 714.94, 783.71
0.0107666400, 715.48, 785.14
0.0108022400, 717.84, 786.44
0.0108378400, 720.24, 789.15
0.0108734400, 722.62, 789.84
0.0109090400, 723.74, 791.56
0.0109446400, 725.04, 792.53
0.0109802400, 726.23, 794.20
0.0110158400, 728.20, 796.21
0.0110514400, 728.77, 798.36
0.0110870300, 731.49, 798.20
0.0111226300, 732.38, 800.88
0.0111582300, 733.64, 802.22
0.0111938300, 735.91, 802.08
0.0112294300, 737.96, 805.24
0.0112650300, 739.66, 806.78
0.0113006300, 742.11, 809.69
0.0113362300, 743.00, 809.47
0.0113718300, 744.47, 811.21
0.0114074300, 746.27, 812.76
0.0114430300, 747.01, 815.09
0.0114786300, 749.11, 815.41
0.0115142300, 751.08, 817.56
0.0115498300, 752.35, 818.40
0.0115854300, 754.32, 819.95
0.0116210300, 755.90, 821.57
0.0116566300, 757.51, 822.84
0.0116922300, 759.55, 825.06
0.0117278200, 760.65, 825.45
0.0117634200, 761.71, 826.62
0.0117990200, 763.28, 828.10
0.0118346200, 764.48, 830.15
0.0118702200, 766.67, 830.73
0.0119058200, 767.02, 832.96
0.0119414200, 769.41, 835.25
0.0119770200, 770.95, 836.20
0.0120126200, 771.93, 836.58
0.0120482200, 773.78, 838.20
0.0120838200, 775.79, 839.59
0.0121194200, 777.60, 840.06
0.0121550200, 778.98, 841.51
0.0121906200, 780.04, 844.05
0.0122262200, 781.51, 845.36
0.0122618200, 783.44, 845.94
0.0122974200, 785.57, 847.15
0.0123330200, 787.35, 848.22
0.0123686200, 787.98, 850.96
0.0124042200, 788.57, 852.47
0.0124398100, 791.01, 853.52
0.0124754100, 793.05, 854.73
0.0125110100, 794.55, 856.40
0.0125466100, 795.94, 858.55
